"female" "black" "hispanic" "dadcoll" "momcoll" "ownhome" "urban" "dist" "tuition" "ed" "incomehi" "county" "state"
0 0 0 1 0 1 1 0.2 0.88915 12 1 35 11
1 0 0 0 0 1 1 0.2 0.88915 12 0 35 11
0 0 0 0 0 1 1 0.2 0.88915 12 0 35 11
0 1 0 0 0 1 1 0.2 0.88915 12 0 35 11
1 0 0 0 0 0 1 0.4 0.88915 13 0 29 11
0 0 0 0 0 1 1 0.4 0.88915 12 0 29 11
1 0 0 0 0 1 0 0.4 0.84988 13 0 45 14
1 0 0 0 0 1 0 0.4 0.84988 15 0 45 14
0 0 0 1 0 1 1 3 0.88915 13 0 32 11
1 0 0 0 0 1 1 3 0.88915 15 0 32 11
1 0 0 0 0 1 1 3 0.88915 12 1 32 11
1 1 0 0 1 1 1 3 0.88915 14 1 32 11
0 0 0 0 0 1 0 0.1 0.84988 15 0 45 14
1 0 0 1 0 1 0 0.1 0.84988 17 1 45 14
1 1 0 1 1 1 0 0.1 0.84988 14 0 45 14
0 0 0 0 0 1 0 0.1 0.84988 15 0 45 14
1 0 0 0 0 1 0 0.1 0.84988 12 1 45 14
1 0 0 0 0 1 0 0.1 0.84988 12 0 45 14
1 0 0 0 0 1 0 0.1 0.84988 16 0 45 14
1 0 0 1 1 1 0 0.1 0.84988 16 1 45 14
1 0 0 0 0 1 0 0.5 0.903 13 0 50 2
0 0 0 1 0 1 0 0.5 0.903 14 1 50 2
0 0 0 1 1 1 0 0.5 0.903 13 0 50 2
1 0 0 0 0 0 0 0.5 0.903 16 0 50 2
0 0 0 0 0 1 0 0.5 0.903 15 0 50 2
1 1 0 0 0 1 0 0.9 0.84988 12 0 27 14
1 0 0 0 0 1 0 0.9 0.84988 12 0 27 14
0 0 0 0 0 1 1 0.5 0.84988 15 0 24 14
0 0 0 0 0 1 1 0.5 0.84988 16 0 24 14
1 0 0 1 0 1 1 0.5 0.84988 12 1 24 14
1 0 0 1 1 1 1 0.5 0.84988 16 1 24 14
1 0 0 0 0 1 1 0.5 0.84988 12 0 24 14
0 0 0 1 0 1 1 0.5 0.84988 16 1 24 14
0 0 0 0 0 1 1 0.5 0.84988 14 0 24 14
1 0 0 0 0 1 1 0.5 0.84988 16 0 24 14
0 0 0 0 0 1 1 0.2 0.84988 17 0 27 14
1 0 0 0 1 0 1 0.2 0.84988 16 0 27 14
0 0 0 1 0 0 0 0.6 0.88915 14 1 35 11
0 0 0 0 0 0 0 0.6 0.88915 15 1 35 11
1 0 0 1 1 1 0 0.6 0.88915 15 1 35 11
0 0 0 1 0 1 0 0.6 0.88915 17 1 35 11
1 0 0 0 0 0 0 0.6 0.88915 15 0 35 11
1 0 0 0 0 1 0 0.6 0.88915 12 0 35 11
1 0 0 0 0 1 0 0.6 0.88915 12 0 35 11
1 0 0 0 0 1 0 0.6 0.88915 15 0 35 11
1 0 0 1 0 1 0 0.1 0.903 16 1 45 2
1 1 0 1 1 0 0 0.1 0.903 12 0 45 2
1 0 0 0 0 1 0 0.1 0.903 13 0 45 2
0 0 1 0 0 1 0 0.1 0.903 12 0 45 2
1 0 0 0 0 1 0 0.1 0.903 16 0 45 2
0 0 1 0 0 0 0 0.1 0.903 15 0 45 2
1 0 0 0 0 1 0 0.1 0.903 12 0 45 2
1 0 0 0 0 1 0 0.1 0.903 12 0 45 2
0 0 0 0 0 1 0 0.1 0.903 12 0 45 2
1 0 0 0 0 1 0 0.1 0.84988 16 0 27 14
0 1 0 0 0 1 0 0.1 0.84988 12 0 27 14
1 0 0 1 1 1 0 0.1 0.84988 15 1 27 14
1 0 0 0 0 0 0 0.1 0.84988 12 0 27 14
1 0 0 1 0 1 0 0.1 0.84988 15 1 27 14
0 0 0 0 0 1 0 0.1 0.84988 13 0 27 14
0 0 0 0 0 1 0 1.5 0.88915 16 1 28 11
0 0 0 1 0 1 0 1.5 0.88915 12 1 28 11
0 0 0 0 0 0 0 1.5 0.88915 12 1 28 11
0 0 0 0 0 1 0 1.5 0.88915 16 0 28 11
1 0 0 1 0 1 0 1.5 0.88915 16 1 28 11
1 0 0 0 0 1 0 1.5 0.88915 15 0 28 11
1 0 0 0 0 1 0 1.5 0.88915 12 0 28 11
1 0 0 0 0 1 0 2 0.903 14 0 42 2
1 0 0 0 0 1 0 2 0.903 12 0 42 2
0 0 0 0 0 1 0 2 0.903 18 1 42 2
1 0 0 0 0 1 0 1.5 0.88915 14 0 38 11
1 0 0 0 0 1 0 1.5 0.88915 15 0 38 11
1 0 0 0 0 1 0 2 0.903 12 0 50 2
0 0 0 1 0 1 0 2 0.903 12 1 50 2
0 0 0 0 0 1 0 2 0.903 16 0 50 2
1 0 0 0 1 1 0 2 0.903 17 1 50 2
0 0 0 1 1 0 0 0.5 0.88915 18 1 17 11
1 0 0 0 0 1 0 0.5 0.88915 16 1 17 11
1 0 0 1 0 1 0 0.5 0.88915 12 1 17 11
0 0 0 0 1 1 0 0.5 0.88915 12 1 17 11
0 0 0 1 0 1 0 0.5 0.88915 16 0 48 11
0 0 0 1 0 1 0 0.5 0.88915 14 1 48 11
0 0 0 0 0 1 0 0.5 0.88915 15 0 48 11
1 0 0 0 0 0 0 0.5 0.88915 14 0 48 11
1 0 0 0 0 1 0 0.5 0.88915 12 0 48 11
1 0 0 0 0 1 0 0.5 0.88915 14 0 48 11
1 0 0 0 0 1 0 0.5 0.88915 14 0 48 11
1 0 0 0 0 1 0 1.2 1.38568 15 0 32 3
1 0 0 0 0 0 0 1.2 1.38568 12 0 32 3
1 0 0 0 0 1 0 1.2 1.38568 12 0 32 3
1 0 0 0 0 1 0 1.2 1.38568 12 1 32 3
1 0 0 0 0 1 0 1.2 1.38568 16 0 32 3
1 0 0 1 1 1 0 1.2 1.38568 17 0 32 3
0 0 0 0 0 1 0 1.2 1.38568 12 0 32 3
1 0 0 0 0 1 0 0.1 0.88915 12 1 26 11
1 0 0 0 0 1 0 0.1 0.88915 12 0 26 11
0 0 0 1 0 1 0 0.1 0.88915 13 1 26 11
0 0 0 0 0 1 0 0.1 0.88915 16 0 26 11
1 0 0 1 1 1 0 0.1 0.88915 16 0 26 11
1 0 0 0 0 1 0 2.5 1.11201 12 0 34 10
1 0 0 0 0 1 0 2.5 1.11201 12 1 34 10
0 0 0 0 0 1 0 2.5 1.11201 12 0 34 10
0 0 0 0 0 0 0 2.5 1.11201 12 0 34 10
1 0 0 0 0 1 0 2.5 1.11201 12 0 34 10
0 0 0 1 1 1 0 2.5 1.11201 16 1 34 10
1 0 0 0 0 1 0 2.5 1.11201 16 1 34 10
1 0 0 0 1 1 0 3.5 0.88915 16 0 38 11
1 0 0 0 0 1 0 3.5 0.88915 14 0 38 11
1 0 0 0 0 1 0 3.5 0.88915 16 0 38 11
1 0 0 1 0 1 0 3.5 0.88915 16 0 38 11
0 1 0 0 1 1 0 1.9 0.88915 16 0 27 11
0 0 0 1 1 1 0 1.9 0.88915 12 1 27 11
1 0 0 0 0 1 0 5 1.11201 12 0 98 10
1 0 0 0 0 0 0 5 1.11201 12 0 98 10
1 0 0 0 0 1 0 5 1.11201 12 0 98 10
1 0 0 0 0 1 0 5 1.11201 12 0 98 10
0 0 1 0 0 1 0 5 1.11201 13 1 98 10
1 0 0 0 0 1 0 5 1.11201 15 0 98 10
0 0 0 0 0 0 0 1.5 0.84988 16 0 60 14
1 0 0 0 0 1 0 1.5 0.84988 12 1 60 14
1 0 0 0 0 1 0 1.5 0.84988 12 0 60 14
0 0 0 0 0 1 0 1.5 0.84988 12 1 60 14
1 0 0 0 1 0 0 1.5 0.84988 12 1 60 14
1 1 0 0 0 1 0 1.5 0.84988 16 0 60 14
1 0 0 0 0 1 0 1.5 0.84988 13 0 60 14
1 0 0 0 0 1 0 0.8 0.88915 15 0 38 11
0 0 0 1 0 1 0 0.8 0.88915 12 1 38 11
0 0 0 0 0 1 0 0.8 0.88915 12 0 38 11
0 0 0 0 0 1 0 0.8 0.88915 12 1 38 11
1 0 0 0 1 1 0 0.8 0.88915 12 0 38 11
0 0 0 0 0 1 0 0.8 0.88915 14 0 38 11
1 0 0 1 0 1 0 1.8 1.11201 16 1 51 10
1 0 0 0 0 1 0 1.8 1.11201 12 0 51 10
0 0 0 0 0 0 0 1.8 1.11201 14 0 51 10
1 0 0 0 0 1 0 1.8 1.11201 12 0 51 10
1 0 0 0 0 1 0 1.8 1.11201 16 1 51 10
0 0 0 0 0 1 0 1.8 1.11201 12 0 51 10
0 0 0 0 0 1 0 1.8 1.11201 13 1 51 10
1 0 0 0 0 1 0 1.8 1.11201 12 0 51 10
1 0 0 1 1 1 0 1.8 1.11201 16 0 51 10
0 0 0 0 0 1 0 1.8 1.11201 12 0 51 10
1 0 0 0 0 1 0 1.8 1.11201 16 0 51 10
0 0 0 0 0 1 0 1.8 1.11201 16 0 51 10
0 0 0 0 0 1 0 0.8 0.84988 15 1 27 14
1 0 0 0 0 1 0 0.8 0.84988 15 1 27 14
0 0 0 0 0 1 0 0.8 0.84988 13 0 27 14
0 0 0 1 1 1 0 0.8 0.84988 16 1 27 14
0 0 0 0 0 1 0 0.8 0.84988 13 1 27 14
0 0 0 1 0 1 0 0.8 0.84988 16 0 27 14
