shipmode,sales,quantity,discount_pct,profit,segment,region,state,subcategory,category,orderdate_day,orderdate_weekday,orderdate_month,orderdate_year,shipdate_day,shipdate_weekday,shipdate_month,shipdate_year,preparationtime,order_date,ship_date,profit_pct
First Class,825.174,9,30.0,-117.882,Corporate,Central,Illinois,Bookcases                                         ,Furniture,4,Sunday,9,2016,6,Tuesday,9,2016,2,2016-09-04,2016-09-06,-14.285714285714288
Standard Class,411.332,4,15.0,-4.8392,Consumer,West,California,Bookcases                                         ,Furniture,5,Friday,9,2014,9,Tuesday,9,2014,4,2014-09-05,2014-09-09,-1.1764705882352942
Same Day,411.332,4,15.0,-4.8392,Home Office,West,California,Bookcases                                         ,Furniture,28,Thursday,11,2013,28,Thursday,11,2013,0,2013-11-28,2013-11-28,-1.1764705882352942
First Class,241.96,2,0.0,33.8744,Consumer,South,Louisiana,Bookcases                                         ,Furniture,30,Monday,5,2016,31,Tuesday,5,2016,1,2016-05-30,2016-05-31,14.000000000000002
Standard Class,341.96,2,0.0,78.6508,Home Office,East,Rhode Island,Bookcases                                         ,Furniture,31,Tuesday,12,2013,7,Tuesday,1,2014,7,2013-12-31,2014-01-07,23.000000000000004
First Class,359.058,3,30.0,-35.9058,Home Office,Central,Illinois,Bookcases                                         ,Furniture,24,Monday,3,2014,27,Thursday,3,2014,3,2014-03-24,2014-03-27,-10.0
Same Day,136.784,1,20.0,5.1294,Consumer,East,New York,Bookcases                                         ,Furniture,5,Friday,6,2015,5,Friday,6,2015,0,2015-06-05,2015-06-05,3.7500000000000004
Standard Class,1025.88,6,0.0,235.9524,Corporate,East,Delaware,Bookcases                                         ,Furniture,19,Tuesday,11,2013,25,Monday,11,2013,6,2013-11-19,2013-11-25,23.0
Standard Class,290.666,2,15.0,27.3568,Corporate,West,California,Bookcases                                         ,Furniture,26,Sunday,5,2013,30,Thursday,5,2013,4,2013-05-26,2013-05-30,9.411764705882353
Second Class,145.74,3,0.0,23.3184,Consumer,South,Louisiana,Bookcases                                         ,Furniture,6,Saturday,8,2016,10,Wednesday,8,2016,4,2016-08-06,2016-08-10,16.0
Standard Class,102.018,7,70.0,-183.6324,Consumer,West,Colorado,Bookcases                                         ,Furniture,19,Monday,12,2016,23,Friday,12,2016,4,2016-12-19,2016-12-23,-179.99999999999997
Standard Class,194.32,4,0.0,31.0912,Corporate,Central,Michigan,Bookcases                                         ,Furniture,21,Sunday,9,2014,27,Saturday,9,2014,6,2014-09-21,2014-09-27,16.0
Second Class,155.456,4,20.0,-7.7728,Consumer,South,Florida,Bookcases                                         ,Furniture,8,Thursday,8,2013,10,Saturday,8,2013,2,2013-08-08,2013-08-10,-5.0
Second Class,48.58,1,0.0,7.7728,Consumer,West,Washington,Bookcases                                         ,Furniture,30,Friday,1,2015,1,Sunday,2,2015,2,2015-01-30,2015-02-01,16.0
Standard Class,77.728,2,20.0,-3.8864,Consumer,South,North Carolina,Bookcases                                         ,Furniture,15,Wednesday,6,2016,19,Sunday,6,2016,4,2016-06-15,2016-06-19,-5.0
Standard Class,212.94,3,0.0,57.4938,Home Office,Central,Michigan,Bookcases                                         ,Furniture,14,Friday,6,2013,20,Thursday,6,2013,6,2013-06-14,2013-06-20,27.0
Standard Class,638.82,9,0.0,172.4814,Consumer,South,Arkansas,Bookcases                                         ,Furniture,19,Monday,8,2013,26,Monday,8,2013,7,2013-08-19,2013-08-26,27.0
Standard Class,321.568,2,20.0,-16.0784,Consumer,East,New York,Bookcases                                         ,Furniture,24,Thursday,11,2016,1,Thursday,12,2016,7,2016-11-24,2016-12-01,-5.0
First Class,409.9992,3,32.0,-96.4704,Consumer,Central,Texas,Bookcases                                         ,Furniture,29,Wednesday,6,2016,30,Thursday,6,2016,1,2016-06-29,2016-06-30,-23.52941176470588
Standard Class,956.6648,7,32.0,-225.0976,Corporate,Central,Texas,Bookcases                                         ,Furniture,28,Monday,9,2015,4,Sunday,10,2015,6,2015-09-28,2015-10-04,-23.52941176470588
Standard Class,301.47,3,50.0,-204.9996,Consumer,East,Pennsylvania,Bookcases                                         ,Furniture,16,Saturday,8,2014,20,Wednesday,8,2014,4,2014-08-16,2014-08-20,-68.0
Standard Class,956.6648,7,32.0,-225.0976,Consumer,Central,Texas,Bookcases                                         ,Furniture,6,Friday,11,2015,10,Tuesday,11,2015,4,2015-11-06,2015-11-10,-23.52941176470588
Second Class,241.96,2,0.0,24.196,Corporate,Central,Wisconsin,Bookcases                                         ,Furniture,14,Friday,8,2015,19,Wednesday,8,2015,5,2015-08-14,2015-08-19,10.0
Standard Class,205.666,2,15.0,-12.098,Consumer,West,California,Bookcases                                         ,Furniture,30,Saturday,3,2013,4,Thursday,4,2013,5,2013-03-30,2013-04-04,-5.882352941176471
First Class,616.998,6,15.0,-36.294,Corporate,West,California,Bookcases                                         ,Furniture,28,Monday,10,2013,31,Thursday,10,2013,3,2013-10-28,2013-10-31,-5.88235294117647
Standard Class,308.499,3,15.0,-18.147,Corporate,West,California,Bookcases                                         ,Furniture,12,Friday,4,2013,17,Wednesday,4,2013,5,2013-04-12,2013-04-17,-5.88235294117647
First Class,514.165,5,15.0,-30.245,Home Office,West,California,Bookcases                                         ,Furniture,10,Friday,6,2016,13,Monday,6,2016,3,2016-06-10,2016-06-13,-5.882352941176471
Standard Class,205.666,2,15.0,-12.098,Consumer,West,California,Bookcases                                         ,Furniture,4,Friday,12,2015,8,Tuesday,12,2015,4,2015-12-04,2015-12-08,-5.882352941176471
Standard Class,290.352,3,20.0,-36.294,Consumer,South,Florida,Bookcases                                         ,Furniture,20,Thursday,11,2014,27,Thursday,11,2014,7,2014-11-20,2014-11-27,-12.5
Standard Class,102.833,1,15.0,-6.049,Consumer,West,California,Bookcases                                         ,Furniture,16,Saturday,4,2016,20,Wednesday,4,2016,4,2016-04-16,2016-04-20,-5.882352941176471
Standard Class,362.94,3,0.0,36.294,Consumer,East,Maryland,Bookcases                                         ,Furniture,20,Friday,9,2013,24,Tuesday,9,2013,4,2013-09-20,2013-09-24,10.0
First Class,120.98,1,0.0,12.098,Consumer,East,New Jersey,Bookcases                                         ,Furniture,18,Sunday,10,2015,21,Wednesday,10,2015,3,2015-10-18,2015-10-21,10.0
First Class,523.26,9,0.0,125.5824,Consumer,South,Virginia,Bookcases                                         ,Furniture,16,Wednesday,4,2014,18,Friday,4,2014,2,2014-04-16,2014-04-18,24.000000000000004
First Class,87.21,3,50.0,-45.3492,Consumer,East,Pennsylvania,Bookcases                                         ,Furniture,7,Thursday,7,2016,9,Saturday,7,2016,2,2016-07-07,2016-07-09,-52.000000000000014
Standard Class,186.048,4,20.0,9.3024,Corporate,East,New York,Bookcases                                         ,Furniture,20,Thursday,11,2014,25,Tuesday,11,2014,5,2014-11-20,2014-11-25,5.0
Second Class,148.257,3,15.0,15.6978,Home Office,West,California,Bookcases                                         ,Furniture,9,Friday,12,2016,11,Sunday,12,2016,2,2016-12-09,2016-12-11,10.588235294117647
Second Class,174.42,3,0.0,41.8608,Consumer,West,Washington,Bookcases                                         ,Furniture,11,Saturday,6,2016,13,Monday,6,2016,2,2016-06-11,2016-06-13,24.0
First Class,90.882,3,70.0,-190.8522,Corporate,West,Colorado,Bookcases                                         ,Furniture,11,Sunday,10,2015,13,Tuesday,10,2015,2,2015-10-11,2015-10-13,-210.0
Standard Class,623.4648,7,32.0,-119.1918,Corporate,Central,Texas,Bookcases                                         ,Furniture,6,Friday,5,2016,11,Wednesday,5,2016,5,2016-05-06,2016-05-11,-19.117647058823533
Second Class,222.666,2,15.0,10.4784,Consumer,West,California,Bookcases                                         ,Furniture,9,Saturday,11,2013,11,Monday,11,2013,2,2013-11-09,2013-11-11,4.7058823529411775
First Class,89.0664,1,32.0,-17.0274,Home Office,Central,Texas,Bookcases                                         ,Furniture,18,Thursday,2,2016,20,Saturday,2,2016,2,2016-02-18,2016-02-20,-19.11764705882353
Second Class,127.764,6,70.0,-191.646,Consumer,West,Arizona,Bookcases                                         ,Furniture,14,Monday,7,2014,19,Saturday,7,2014,5,2014-07-14,2014-07-19,-150.0
Standard Class,193.0656,4,32.0,-19.8744,Consumer,Central,Texas,Bookcases                                         ,Furniture,20,Thursday,6,2013,24,Monday,6,2013,4,2013-06-20,2013-06-24,-10.294117647058824
Standard Class,681.408,12,20.0,42.588,Consumer,East,New York,Bookcases                                         ,Furniture,30,Sunday,11,2014,4,Thursday,12,2014,4,2014-11-30,2014-12-04,6.25
Second Class,212.94,3,0.0,53.235,Corporate,Central,Missouri,Bookcases                                         ,Furniture,14,Thursday,1,2016,19,Tuesday,1,2016,5,2016-01-14,2016-01-19,25.0
First Class,354.9,5,0.0,88.725,Consumer,South,Georgia,Bookcases                                         ,Furniture,9,Thursday,4,2015,12,Sunday,4,2015,3,2015-04-09,2015-04-12,25.0
Standard Class,84.98,1,0.0,18.6956,Home Office,West,Washington,Bookcases                                         ,Furniture,22,Friday,1,2016,26,Tuesday,1,2016,4,2016-01-22,2016-01-26,21.999999999999996
Standard Class,339.92,5,20.0,8.498,Home Office,South,Florida,Bookcases                                         ,Furniture,25,Wednesday,11,2015,1,Tuesday,12,2015,6,2015-11-25,2015-12-01,2.5
First Class,314.352,3,20.0,-15.7176,Consumer,South,Florida,Bookcases                                         ,Furniture,1,Sunday,5,2016,2,Monday,5,2016,1,2016-05-01,2016-05-02,-5.0
Standard Class,130.98,2,50.0,-89.0664,Consumer,East,Pennsylvania,Bookcases                                         ,Furniture,25,Thursday,8,2016,29,Monday,8,2016,4,2016-08-25,2016-08-29,-68.0
Second Class,261.96,2,0.0,41.9136,Consumer,South,Kentucky,Bookcases                                         ,Furniture,9,Monday,11,2015,12,Thursday,11,2015,3,2015-11-09,2015-11-12,16.000000000000004
Standard Class,556.665,5,15.0,6.549,Consumer,West,California,Bookcases                                         ,Furniture,10,Friday,4,2015,15,Wednesday,4,2015,5,2015-04-10,2015-04-15,1.1764705882352944
Standard Class,240.784,1,20.0,30.098,Consumer,East,New York,Bookcases                                         ,Furniture,7,Sunday,2,2016,12,Friday,2,2016,5,2016-02-07,2016-02-12,12.5
Second Class,722.352,3,20.0,90.294,Consumer,East,New York,Bookcases                                         ,Furniture,7,Monday,9,2015,10,Thursday,9,2015,3,2015-09-07,2015-09-10,12.5
First Class,1279.165,5,15.0,225.735,Consumer,West,California,Bookcases                                         ,Furniture,5,Sunday,7,2015,7,Tuesday,7,2015,2,2015-07-05,2015-07-07,17.647058823529413
Second Class,204.6664,1,32.0,-6.0196,Consumer,Central,Texas,Bookcases                                         ,Furniture,30,Monday,5,2016,3,Friday,6,2016,4,2016-05-30,2016-06-03,-2.941176470588235
Standard Class,1023.332,5,32.0,-30.098,Consumer,Central,Texas,Bookcases                                         ,Furniture,27,Sunday,3,2016,1,Friday,4,2016,5,2016-03-27,2016-04-01,-2.941176470588235
Standard Class,180.588,2,70.0,-240.784,Consumer,West,Colorado,Bookcases                                         ,Furniture,23,Friday,9,2016,29,Thursday,9,2016,6,2016-09-23,2016-09-29,-133.33333333333331
First Class,1227.9984,6,32.0,-36.1176,Corporate,Central,Texas,Bookcases                                         ,Furniture,1,Saturday,3,2014,4,Tuesday,3,2014,3,2014-03-01,2014-03-04,-2.9411764705882355
Standard Class,613.9992,3,32.0,-18.0588,Consumer,Central,Texas,Bookcases                                         ,Furniture,13,Thursday,11,2014,17,Monday,11,2014,4,2014-11-13,2014-11-17,-2.9411764705882355
First Class,257.568,2,20.0,-28.9764,Consumer,East,New York,Bookcases                                         ,Furniture,26,Saturday,3,2016,27,Sunday,3,2016,1,2016-03-26,2016-03-27,-11.250000000000002
Second Class,482.94,6,50.0,-376.6932,Corporate,East,Ohio,Bookcases                                         ,Furniture,28,Saturday,6,2014,3,Thursday,7,2014,5,2014-06-28,2014-07-03,-78.0
